file index:44, before 2048:0.984, after 2048:0.984, before 256:0.979, after 256:0.995, cost:0.3167 min, ETA:20.5833 min,         Acc:0.984, Precision:0.981, Recall:1.000, F1:0.991,[TP:53, FP:1, TN:10, FN:0]
file index:45, before 2048:0.797, after 2048:0.797, before 256:0.941, after 256:0.956, cost:0.2833 min, ETA:18.1333 min,         Acc:0.797, Precision:0.690, Recall:1.000, F1:0.817,[TP:29, FP:13, TN:22, FN:0]
file index:46, before 2048:0.969, after 2048:0.969, before 256:0.981, after 256:0.996, cost:0.2833 min, ETA:17.8500 min,         Acc:0.969, Precision:0.946, Recall:1.000, F1:0.972,[TP:35, FP:2, TN:27, FN:0]
file index:47, before 2048:0.969, after 2048:0.969, before 256:0.981, after 256:0.996, cost:0.2833 min, ETA:17.5667 min,         Acc:0.969, Precision:0.946, Recall:1.000, F1:0.972,[TP:35, FP:2, TN:27, FN:0]
file index:48, before 2048:0.969, after 2048:0.969, before 256:0.982, after 256:0.997, cost:0.2833 min, ETA:17.2833 min,         Acc:0.969, Precision:0.946, Recall:1.000, F1:0.972,[TP:35, FP:2, TN:27, FN:0]
file index:49, before 2048:0.969, after 2048:0.969, before 256:0.982, after 256:0.997, cost:0.3333 min, ETA:20.0000 min,         Acc:0.969, Precision:0.946, Recall:1.000, F1:0.972,[TP:35, FP:2, TN:27, FN:0]
file index:50, before 2048:0.969, after 2048:0.969, before 256:0.982, after 256:0.997, cost:0.3333 min, ETA:19.6667 min,         Acc:0.969, Precision:0.946, Recall:1.000, F1:0.972,[TP:35, FP:2, TN:27, FN:0]
file index:51, before 2048:0.969, after 2048:0.969, before 256:0.982, after 256:0.997, cost:0.3333 min, ETA:19.3333 min,         Acc:0.969, Precision:0.946, Recall:1.000, F1:0.972,[TP:35, FP:2, TN:27, FN:0]
file index:52, before 2048:1.000, after 2048:1.000, before 256:0.981, after 256:0.997, cost:0.3333 min, ETA:19.0000 min,         Acc:1.000, Precision:1.000, Recall:1.000, F1:1.000,[TP:36, FP:0, TN:28, FN:0]
file index:53, before 2048:0.984, after 2048:0.984, before 256:0.980, after 256:0.995, cost:0.3167 min, ETA:17.7333 min,         Acc:0.984, Precision:0.972, Recall:1.000, F1:0.986,[TP:35, FP:1, TN:28, FN:0]
