file index:56, before 2048:0.969, after 2048:0.969, before 256:0.966, after 256:0.981, cost:0.2000 min, ETA:10.6000 min,         Acc:0.969, Precision:0.944, Recall:1.000, F1:0.971,[TP:34, FP:2, TN:28, FN:0]
file index:57, before 2048:1.000, after 2048:1.000, before 256:0.983, after 256:0.999, cost:0.2167 min, ETA:11.2667 min,         Acc:1.000, Precision:1.000, Recall:1.000, F1:1.000,[TP:60, FP:0, TN:4, FN:0]
file index:58, before 2048:1.000, after 2048:1.000, before 256:0.982, after 256:0.998, cost:0.2167 min, ETA:11.0500 min,         Acc:1.000, Precision:1.000, Recall:1.000, F1:1.000,[TP:60, FP:0, TN:4, FN:0]
file index:59, before 2048:1.000, after 2048:1.000, before 256:0.983, after 256:0.998, cost:0.2167 min, ETA:10.8333 min,         Acc:1.000, Precision:1.000, Recall:1.000, F1:1.000,[TP:60, FP:0, TN:4, FN:0]
file index:60, before 2048:1.000, after 2048:1.000, before 256:0.983, after 256:0.999, cost:0.2167 min, ETA:10.6167 min,         Acc:1.000, Precision:1.000, Recall:1.000, F1:1.000,[TP:60, FP:0, TN:4, FN:0]
file index:61, before 2048:1.000, after 2048:1.000, before 256:0.982, after 256:0.998, cost:0.2000 min, ETA:9.6000 min,         Acc:1.000, Precision:1.000, Recall:1.000, F1:1.000,[TP:60, FP:0, TN:4, FN:0]
file index:62, before 2048:1.000, after 2048:1.000, before 256:0.983, after 256:0.999, cost:0.2000 min, ETA:9.4000 min,         Acc:1.000, Precision:1.000, Recall:1.000, F1:1.000,[TP:60, FP:0, TN:4, FN:0]
file index:63, before 2048:1.000, after 2048:1.000, before 256:0.982, after 256:0.998, cost:0.2167 min, ETA:9.9667 min,         Acc:1.000, Precision:1.000, Recall:1.000, F1:1.000,[TP:60, FP:0, TN:4, FN:0]
file index:64, before 2048:1.000, after 2048:1.000, before 256:0.983, after 256:0.998, cost:0.2000 min, ETA:9.0000 min,         Acc:1.000, Precision:1.000, Recall:1.000, F1:1.000,[TP:60, FP:0, TN:4, FN:0]
file index:65, before 2048:1.000, after 2048:1.000, before 256:0.983, after 256:0.998, cost:0.2167 min, ETA:9.5333 min,         Acc:1.000, Precision:1.000, Recall:1.000, F1:1.000,[TP:60, FP:0, TN:4, FN:0]
file index:66, before 2048:1.000, after 2048:1.000, before 256:0.983, after 256:0.999, cost:0.1833 min, ETA:7.8833 min,         Acc:1.000, Precision:1.000, Recall:1.000, F1:1.000,[TP:54, FP:0, TN:10, FN:0]
file index:67, before 2048:1.000, after 2048:1.000, before 256:0.966, after 256:0.981, cost:0.2167 min, ETA:9.1000 min,         Acc:1.000, Precision:1.000, Recall:1.000, F1:1.000,[TP:60, FP:0, TN:4, FN:0]
file index:68, before 2048:1.000, after 2048:1.000, before 256:0.983, after 256:0.998, cost:0.1833 min, ETA:7.5167 min,         Acc:1.000, Precision:1.000, Recall:1.000, F1:1.000,[TP:49, FP:0, TN:15, FN:0]
file index:69, before 2048:1.000, after 2048:1.000, before 256:0.983, after 256:0.999, cost:0.1833 min, ETA:7.3333 min,         Acc:1.000, Precision:1.000, Recall:1.000, F1:1.000,[TP:49, FP:0, TN:15, FN:0]
file index:70, before 2048:1.000, after 2048:1.000, before 256:0.983, after 256:0.998, cost:0.1833 min, ETA:7.1500 min,         Acc:1.000, Precision:1.000, Recall:1.000, F1:1.000,[TP:49, FP:0, TN:15, FN:0]
file index:71, before 2048:1.000, after 2048:1.000, before 256:0.983, after 256:0.998, cost:0.1833 min, ETA:6.9667 min,         Acc:1.000, Precision:1.000, Recall:1.000, F1:1.000,[TP:49, FP:0, TN:15, FN:0]
file index:72, before 2048:1.000, after 2048:1.000, before 256:0.983, after 256:0.999, cost:0.1833 min, ETA:6.7833 min,         Acc:1.000, Precision:1.000, Recall:1.000, F1:1.000,[TP:49, FP:0, TN:15, FN:0]
file index:73, before 2048:1.000, after 2048:1.000, before 256:0.983, after 256:0.999, cost:0.1833 min, ETA:6.6000 min,         Acc:1.000, Precision:1.000, Recall:1.000, F1:1.000,[TP:49, FP:0, TN:15, FN:0]
file index:74, before 2048:0.984, after 2048:0.984, before 256:0.983, after 256:0.999, cost:0.1833 min, ETA:6.4167 min,         Acc:0.984, Precision:0.980, Recall:1.000, F1:0.990,[TP:48, FP:1, TN:15, FN:0]
file index:75, before 2048:1.000, after 2048:1.000, before 256:0.983, after 256:0.998, cost:0.1833 min, ETA:6.2333 min,         Acc:1.000, Precision:1.000, Recall:1.000, F1:1.000,[TP:48, FP:0, TN:16, FN:0]
file index:76, before 2048:1.000, after 2048:1.000, before 256:0.982, after 256:0.998, cost:0.1833 min, ETA:6.0500 min,         Acc:1.000, Precision:1.000, Recall:1.000, F1:1.000,[TP:48, FP:0, TN:16, FN:0]
file index:77, before 2048:0.641, after 2048:0.641, before 256:0.929, after 256:0.943, cost:0.1833 min, ETA:5.8667 min,         Acc:0.641, Precision:0.361, Recall:1.000, F1:0.531,[TP:13, FP:23, TN:28, FN:0]
file index:78, before 2048:1.000, after 2048:1.000, before 256:0.980, after 256:0.995, cost:0.1833 min, ETA:5.6833 min,         Acc:1.000, Precision:1.000, Recall:1.000, F1:1.000,[TP:48, FP:0, TN:16, FN:0]
file index:79, before 2048:1.000, after 2048:1.000, before 256:0.984, after 256:0.999, cost:0.1833 min, ETA:5.5000 min,         Acc:1.000, Precision:1.000, Recall:1.000, F1:1.000,[TP:55, FP:0, TN:9, FN:0]
file index:80, before 2048:1.000, after 2048:1.000, before 256:0.984, after 256:0.999, cost:0.1833 min, ETA:5.3167 min,         Acc:1.000, Precision:1.000, Recall:1.000, F1:1.000,[TP:55, FP:0, TN:9, FN:0]
file index:81, before 2048:1.000, after 2048:1.000, before 256:0.983, after 256:0.998, cost:0.1667 min, ETA:4.6667 min,         Acc:1.000, Precision:1.000, Recall:1.000, F1:1.000,[TP:55, FP:0, TN:9, FN:0]
file index:82, before 2048:1.000, after 2048:1.000, before 256:0.983, after 256:0.999, cost:0.1833 min, ETA:4.9500 min,         Acc:1.000, Precision:1.000, Recall:1.000, F1:1.000,[TP:55, FP:0, TN:9, FN:0]
file index:83, before 2048:1.000, after 2048:1.000, before 256:0.984, after 256:1.000, cost:0.2000 min, ETA:5.2000 min,         Acc:1.000, Precision:1.000, Recall:1.000, F1:1.000,[TP:55, FP:0, TN:9, FN:0]
file index:84, before 2048:1.000, after 2048:1.000, before 256:0.984, after 256:1.000, cost:0.1667 min, ETA:4.1667 min,         Acc:1.000, Precision:1.000, Recall:1.000, F1:1.000,[TP:55, FP:0, TN:9, FN:0]
file index:85, before 2048:1.000, after 2048:1.000, before 256:0.984, after 256:0.999, cost:0.1667 min, ETA:4.0000 min,         Acc:1.000, Precision:1.000, Recall:1.000, F1:1.000,[TP:55, FP:0, TN:9, FN:0]
file index:86, before 2048:1.000, after 2048:1.000, before 256:0.983, after 256:0.998, cost:0.1833 min, ETA:4.2167 min,         Acc:1.000, Precision:1.000, Recall:1.000, F1:1.000,[TP:55, FP:0, TN:9, FN:0]
file index:87, before 2048:1.000, after 2048:1.000, before 256:0.983, after 256:0.998, cost:0.2000 min, ETA:4.4000 min,         Acc:1.000, Precision:1.000, Recall:1.000, F1:1.000,[TP:55, FP:0, TN:9, FN:0]
file index:88, before 2048:1.000, after 2048:1.000, before 256:0.983, after 256:0.998, cost:0.1833 min, ETA:3.8500 min,         Acc:1.000, Precision:1.000, Recall:1.000, F1:1.000,[TP:54, FP:0, TN:10, FN:0]
file index:89, before 2048:1.000, after 2048:1.000, before 256:0.983, after 256:0.998, cost:0.1833 min, ETA:3.6667 min,         Acc:1.000, Precision:1.000, Recall:1.000, F1:1.000,[TP:55, FP:0, TN:9, FN:0]
file index:90, before 2048:1.000, after 2048:1.000, before 256:0.982, after 256:0.998, cost:0.1833 min, ETA:3.4833 min,         Acc:1.000, Precision:1.000, Recall:1.000, F1:1.000,[TP:50, FP:0, TN:14, FN:0]
file index:91, before 2048:1.000, after 2048:1.000, before 256:0.983, after 256:0.998, cost:0.1833 min, ETA:3.3000 min,         Acc:1.000, Precision:1.000, Recall:1.000, F1:1.000,[TP:50, FP:0, TN:14, FN:0]
file index:92, before 2048:0.984, after 2048:0.984, before 256:0.982, after 256:0.998, cost:0.1833 min, ETA:3.1167 min,         Acc:0.984, Precision:1.000, Recall:0.980, F1:0.990,[TP:50, FP:0, TN:13, FN:1]
file index:93, before 2048:1.000, after 2048:1.000, before 256:0.983, after 256:0.998, cost:0.2000 min, ETA:3.2000 min,         Acc:1.000, Precision:1.000, Recall:1.000, F1:1.000,[TP:50, FP:0, TN:14, FN:0]
file index:94, before 2048:1.000, after 2048:1.000, before 256:0.983, after 256:0.998, cost:0.1833 min, ETA:2.7500 min,         Acc:1.000, Precision:1.000, Recall:1.000, F1:1.000,[TP:50, FP:0, TN:14, FN:0]
file index:95, before 2048:1.000, after 2048:1.000, before 256:0.983, after 256:0.999, cost:0.1833 min, ETA:2.5667 min,         Acc:1.000, Precision:1.000, Recall:1.000, F1:1.000,[TP:50, FP:0, TN:14, FN:0]
file index:96, before 2048:1.000, after 2048:1.000, before 256:0.983, after 256:0.999, cost:0.1833 min, ETA:2.3833 min,         Acc:1.000, Precision:1.000, Recall:1.000, F1:1.000,[TP:50, FP:0, TN:14, FN:0]
file index:97, before 2048:1.000, after 2048:1.000, before 256:0.983, after 256:0.998, cost:0.1667 min, ETA:2.0000 min,         Acc:1.000, Precision:1.000, Recall:1.000, F1:1.000,[TP:50, FP:0, TN:14, FN:0]
file index:98, before 2048:1.000, after 2048:1.000, before 256:0.982, after 256:0.998, cost:0.1833 min, ETA:2.0167 min,         Acc:1.000, Precision:1.000, Recall:1.000, F1:1.000,[TP:50, FP:0, TN:14, FN:0]
file index:99, before 2048:0.500, after 2048:0.500, before 256:0.898, after 256:0.912, cost:0.1833 min, ETA:1.8333 min,         Acc:0.500, Precision:0.467, Recall:1.000, F1:0.636,[TP:28, FP:32, TN:4, FN:0]
file index:100, before 2048:1.000, after 2048:1.000, before 256:0.981, after 256:0.997, cost:0.1667 min, ETA:1.5000 min,         Acc:1.000, Precision:1.000, Recall:1.000, F1:1.000,[TP:50, FP:0, TN:14, FN:0]
file index:101, before 2048:0.984, after 2048:0.984, before 256:0.981, after 256:0.997, cost:0.1833 min, ETA:1.4667 min,         Acc:0.984, Precision:1.000, Recall:0.983, F1:0.991,[TP:58, FP:0, TN:5, FN:1]
file index:102, before 2048:1.000, after 2048:1.000, before 256:0.981, after 256:0.997, cost:0.1833 min, ETA:1.2833 min,         Acc:1.000, Precision:1.000, Recall:1.000, F1:1.000,[TP:58, FP:0, TN:6, FN:0]
file index:103, before 2048:1.000, after 2048:1.000, before 256:0.982, after 256:0.997, cost:0.1833 min, ETA:1.1000 min,         Acc:1.000, Precision:1.000, Recall:1.000, F1:1.000,[TP:58, FP:0, TN:6, FN:0]
file index:104, before 2048:1.000, after 2048:1.000, before 256:0.981, after 256:0.996, cost:0.1833 min, ETA:0.9167 min,         Acc:1.000, Precision:1.000, Recall:1.000, F1:1.000,[TP:58, FP:0, TN:6, FN:0]
file index:105, before 2048:1.000, after 2048:1.000, before 256:0.981, after 256:0.997, cost:0.1667 min, ETA:0.6667 min,         Acc:1.000, Precision:1.000, Recall:1.000, F1:1.000,[TP:58, FP:0, TN:6, FN:0]
file index:106, before 2048:1.000, after 2048:1.000, before 256:0.982, after 256:0.997, cost:0.1833 min, ETA:0.5500 min,         Acc:1.000, Precision:1.000, Recall:1.000, F1:1.000,[TP:58, FP:0, TN:6, FN:0]
file index:107, before 2048:1.000, after 2048:1.000, before 256:0.982, after 256:0.997, cost:0.1833 min, ETA:0.3667 min,         Acc:1.000, Precision:1.000, Recall:1.000, F1:1.000,[TP:58, FP:0, TN:6, FN:0]
file index:108, before 2048:1.000, after 2048:1.000, before 256:0.981, after 256:0.996, cost:0.1833 min, ETA:0.1833 min,         Acc:1.000, Precision:1.000, Recall:1.000, F1:1.000,[TP:58, FP:0, TN:6, FN:0]
file index:109, before 2048:0.984, after 2048:0.984, before 256:0.981, after 256:0.997, cost:0.1833 min, ETA:0.0000 min,         Acc:0.984, Precision:1.000, Recall:0.983, F1:0.991,[TP:58, FP:0, TN:5, FN:1]
AVG_Acc:0.967, AVG_Precision:0.958, AVG_Recall:0.998, AVG_F1:0.967
