file index:38, before 2048:1.000, after 2048:1.000, before 256:0.984, after 256:1.000, cost:0.2333 min, ETA:16.5667 min,         Acc:1.000, Precision:1.000, Recall:1.000, F1:1.000,[TP:42, FP:0, TN:22, FN:0]
file index:39, before 2048:1.000, after 2048:1.000, before 256:0.983, after 256:0.999, cost:0.2333 min, ETA:16.3333 min,         Acc:1.000, Precision:1.000, Recall:1.000, F1:1.000,[TP:42, FP:0, TN:22, FN:0]
file index:40, before 2048:1.000, after 2048:1.000, before 256:0.984, after 256:1.000, cost:0.2500 min, ETA:17.2500 min,         Acc:1.000, Precision:1.000, Recall:1.000, F1:1.000,[TP:42, FP:0, TN:22, FN:0]
file index:41, before 2048:1.000, after 2048:1.000, before 256:0.984, after 256:1.000, cost:0.2167 min, ETA:14.7333 min,         Acc:1.000, Precision:1.000, Recall:1.000, F1:1.000,[TP:42, FP:0, TN:22, FN:0]
file index:42, before 2048:1.000, after 2048:1.000, before 256:0.984, after 256:1.000, cost:0.2167 min, ETA:14.5167 min,         Acc:1.000, Precision:1.000, Recall:1.000, F1:1.000,[TP:42, FP:0, TN:22, FN:0]
file index:43, before 2048:1.000, after 2048:1.000, before 256:0.984, after 256:0.999, cost:0.2167 min, ETA:14.3000 min,         Acc:1.000, Precision:1.000, Recall:1.000, F1:1.000,[TP:42, FP:0, TN:22, FN:0]
file index:44, before 2048:1.000, after 2048:1.000, before 256:0.984, after 256:0.999, cost:0.2500 min, ETA:16.2500 min,         Acc:1.000, Precision:1.000, Recall:1.000, F1:1.000,[TP:54, FP:0, TN:10, FN:0]
file index:45, before 2048:1.000, after 2048:1.000, before 256:0.976, after 256:0.991, cost:0.2167 min, ETA:13.8667 min,         Acc:1.000, Precision:1.000, Recall:1.000, F1:1.000,[TP:42, FP:0, TN:22, FN:0]
file index:46, before 2048:1.000, after 2048:1.000, before 256:0.984, after 256:0.999, cost:0.2167 min, ETA:13.6500 min,         Acc:1.000, Precision:1.000, Recall:1.000, F1:1.000,[TP:37, FP:0, TN:27, FN:0]
file index:47, before 2048:1.000, after 2048:1.000, before 256:0.984, after 256:1.000, cost:0.2167 min, ETA:13.4333 min,         Acc:1.000, Precision:1.000, Recall:1.000, F1:1.000,[TP:37, FP:0, TN:27, FN:0]
file index:48, before 2048:1.000, after 2048:1.000, before 256:0.984, after 256:1.000, cost:0.2167 min, ETA:13.2167 min,         Acc:1.000, Precision:1.000, Recall:1.000, F1:1.000,[TP:37, FP:0, TN:27, FN:0]
file index:49, before 2048:1.000, after 2048:1.000, before 256:0.984, after 256:1.000, cost:0.2667 min, ETA:16.0000 min,         Acc:1.000, Precision:1.000, Recall:1.000, F1:1.000,[TP:37, FP:0, TN:27, FN:0]
