file index:52, before 2048:1.000, after 2048:1.000, before 256:0.983, after 256:0.999, cost:0.4167 min, ETA:23.7500 min,         Acc:1.000, Precision:1.000, Recall:1.000, F1:1.000,[TP:36, FP:0, TN:28, FN:0]
file index:53, before 2048:0.984, after 2048:0.984, before 256:0.983, after 256:0.998, cost:0.4000 min, ETA:22.4000 min,         Acc:0.984, Precision:1.000, Recall:0.973, F1:0.986,[TP:36, FP:0, TN:27, FN:1]
file index:54, before 2048:1.000, after 2048:1.000, before 256:0.984, after 256:0.999, cost:0.4167 min, ETA:22.9167 min,         Acc:1.000, Precision:1.000, Recall:1.000, F1:1.000,[TP:36, FP:0, TN:28, FN:0]
file index:55, before 2048:0.719, after 2048:0.719, before 256:0.930, after 256:0.945, cost:0.4000 min, ETA:21.6000 min,         Acc:0.719, Precision:0.571, Recall:1.000, F1:0.727,[TP:24, FP:18, TN:22, FN:0]
file index:56, before 2048:1.000, after 2048:1.000, before 256:0.980, after 256:0.996, cost:0.4167 min, ETA:22.0833 min,         Acc:1.000, Precision:1.000, Recall:1.000, F1:1.000,[TP:36, FP:0, TN:28, FN:0]
file index:57, before 2048:1.000, after 2048:1.000, before 256:0.981, after 256:0.997, cost:0.4000 min, ETA:20.8000 min,         Acc:1.000, Precision:1.000, Recall:1.000, F1:1.000,[TP:60, FP:0, TN:4, FN:0]
file index:58, before 2048:1.000, after 2048:1.000, before 256:0.981, after 256:0.997, cost:0.4167 min, ETA:21.2500 min,         Acc:1.000, Precision:1.000, Recall:1.000, F1:1.000,[TP:60, FP:0, TN:4, FN:0]
file index:59, before 2048:1.000, after 2048:1.000, before 256:0.981, after 256:0.996, cost:0.4167 min, ETA:20.8333 min,         Acc:1.000, Precision:1.000, Recall:1.000, F1:1.000,[TP:60, FP:0, TN:4, FN:0]
file index:60, before 2048:1.000, after 2048:1.000, before 256:0.982, after 256:0.997, cost:0.4167 min, ETA:20.4167 min,         Acc:1.000, Precision:1.000, Recall:1.000, F1:1.000,[TP:60, FP:0, TN:4, FN:0]
file index:61, before 2048:1.000, after 2048:1.000, before 256:0.981, after 256:0.996, cost:0.4167 min, ETA:20.0000 min,         Acc:1.000, Precision:1.000, Recall:1.000, F1:1.000,[TP:60, FP:0, TN:4, FN:0]
file index:62, before 2048:1.000, after 2048:1.000, before 256:0.982, after 256:0.997, cost:0.4167 min, ETA:19.5833 min,         Acc:1.000, Precision:1.000, Recall:1.000, F1:1.000,[TP:60, FP:0, TN:4, FN:0]
file index:63, before 2048:1.000, after 2048:1.000, before 256:0.981, after 256:0.997, cost:0.4167 min, ETA:19.1667 min,         Acc:1.000, Precision:1.000, Recall:1.000, F1:1.000,[TP:60, FP:0, TN:4, FN:0]
file index:64, before 2048:1.000, after 2048:1.000, before 256:0.981, after 256:0.997, cost:0.4167 min, ETA:18.7500 min,         Acc:1.000, Precision:1.000, Recall:1.000, F1:1.000,[TP:60, FP:0, TN:4, FN:0]
file index:65, before 2048:1.000, after 2048:1.000, before 256:0.982, after 256:0.998, cost:0.4333 min, ETA:19.0667 min,         Acc:1.000, Precision:1.000, Recall:1.000, F1:1.000,[TP:60, FP:0, TN:4, FN:0]
file index:66, before 2048:1.000, after 2048:1.000, before 256:0.982, after 256:0.998, cost:0.4000 min, ETA:17.2000 min,         Acc:1.000, Precision:1.000, Recall:1.000, F1:1.000,[TP:54, FP:0, TN:10, FN:0]
file index:67, before 2048:1.000, after 2048:1.000, before 256:0.981, after 256:0.996, cost:0.4167 min, ETA:17.5000 min,         Acc:1.000, Precision:1.000, Recall:1.000, F1:1.000,[TP:60, FP:0, TN:4, FN:0]
file index:68, before 2048:1.000, after 2048:1.000, before 256:0.982, after 256:0.998, cost:0.4000 min, ETA:16.4000 min,         Acc:1.000, Precision:1.000, Recall:1.000, F1:1.000,[TP:49, FP:0, TN:15, FN:0]
file index:69, before 2048:1.000, after 2048:1.000, before 256:0.983, after 256:0.998, cost:0.4000 min, ETA:16.0000 min,         Acc:1.000, Precision:1.000, Recall:1.000, F1:1.000,[TP:49, FP:0, TN:15, FN:0]
file index:70, before 2048:1.000, after 2048:1.000, before 256:0.982, after 256:0.998, cost:0.3833 min, ETA:14.9500 min,         Acc:1.000, Precision:1.000, Recall:1.000, F1:1.000,[TP:49, FP:0, TN:15, FN:0]
file index:71, before 2048:1.000, after 2048:1.000, before 256:0.982, after 256:0.998, cost:0.3833 min, ETA:14.5667 min,         Acc:1.000, Precision:1.000, Recall:1.000, F1:1.000,[TP:49, FP:0, TN:15, FN:0]
file index:72, before 2048:1.000, after 2048:1.000, before 256:0.981, after 256:0.996, cost:0.3833 min, ETA:14.1833 min,         Acc:1.000, Precision:1.000, Recall:1.000, F1:1.000,[TP:49, FP:0, TN:15, FN:0]
file index:73, before 2048:1.000, after 2048:1.000, before 256:0.981, after 256:0.997, cost:0.4000 min, ETA:14.4000 min,         Acc:1.000, Precision:1.000, Recall:1.000, F1:1.000,[TP:49, FP:0, TN:15, FN:0]
file index:74, before 2048:0.984, after 2048:0.984, before 256:0.981, after 256:0.997, cost:0.4000 min, ETA:14.0000 min,         Acc:0.984, Precision:0.980, Recall:1.000, F1:0.990,[TP:48, FP:1, TN:15, FN:0]
file index:75, before 2048:1.000, after 2048:1.000, before 256:0.981, after 256:0.997, cost:0.4000 min, ETA:13.6000 min,         Acc:1.000, Precision:1.000, Recall:1.000, F1:1.000,[TP:48, FP:0, TN:16, FN:0]
file index:76, before 2048:1.000, after 2048:1.000, before 256:0.982, after 256:0.997, cost:0.4000 min, ETA:13.2000 min,         Acc:1.000, Precision:1.000, Recall:1.000, F1:1.000,[TP:48, FP:0, TN:16, FN:0]
file index:77, before 2048:0.828, after 2048:0.828, before 256:0.947, after 256:0.962, cost:0.4000 min, ETA:12.8000 min,         Acc:0.828, Precision:0.694, Recall:1.000, F1:0.820,[TP:25, FP:11, TN:28, FN:0]
file index:78, before 2048:1.000, after 2048:1.000, before 256:0.982, after 256:0.997, cost:0.3833 min, ETA:11.8833 min,         Acc:1.000, Precision:1.000, Recall:1.000, F1:1.000,[TP:48, FP:0, TN:16, FN:0]
file index:79, before 2048:1.000, after 2048:1.000, before 256:0.983, after 256:0.998, cost:0.4000 min, ETA:12.0000 min,         Acc:1.000, Precision:1.000, Recall:1.000, F1:1.000,[TP:55, FP:0, TN:9, FN:0]
file index:80, before 2048:0.984, after 2048:0.984, before 256:0.982, after 256:0.997, cost:0.4000 min, ETA:11.6000 min,         Acc:0.984, Precision:1.000, Recall:0.982, F1:0.991,[TP:55, FP:0, TN:8, FN:1]
file index:81, before 2048:1.000, after 2048:1.000, before 256:0.982, after 256:0.998, cost:0.4000 min, ETA:11.2000 min,         Acc:1.000, Precision:1.000, Recall:1.000, F1:1.000,[TP:55, FP:0, TN:9, FN:0]
file index:82, before 2048:1.000, after 2048:1.000, before 256:0.982, after 256:0.997, cost:0.3833 min, ETA:10.3500 min,         Acc:1.000, Precision:1.000, Recall:1.000, F1:1.000,[TP:55, FP:0, TN:9, FN:0]
file index:83, before 2048:1.000, after 2048:1.000, before 256:0.983, after 256:0.998, cost:0.3833 min, ETA:9.9667 min,         Acc:1.000, Precision:1.000, Recall:1.000, F1:1.000,[TP:55, FP:0, TN:9, FN:0]
file index:84, before 2048:1.000, after 2048:1.000, before 256:0.983, after 256:0.998, cost:0.3833 min, ETA:9.5833 min,         Acc:1.000, Precision:1.000, Recall:1.000, F1:1.000,[TP:55, FP:0, TN:9, FN:0]
file index:85, before 2048:1.000, after 2048:1.000, before 256:0.982, after 256:0.998, cost:0.4000 min, ETA:9.6000 min,         Acc:1.000, Precision:1.000, Recall:1.000, F1:1.000,[TP:55, FP:0, TN:9, FN:0]
file index:86, before 2048:1.000, after 2048:1.000, before 256:0.981, after 256:0.996, cost:0.3833 min, ETA:8.8167 min,         Acc:1.000, Precision:1.000, Recall:1.000, F1:1.000,[TP:55, FP:0, TN:9, FN:0]
file index:87, before 2048:1.000, after 2048:1.000, before 256:0.981, after 256:0.997, cost:0.3833 min, ETA:8.4333 min,         Acc:1.000, Precision:1.000, Recall:1.000, F1:1.000,[TP:55, FP:0, TN:9, FN:0]
file index:88, before 2048:1.000, after 2048:1.000, before 256:0.982, after 256:0.998, cost:0.4000 min, ETA:8.4000 min,         Acc:1.000, Precision:1.000, Recall:1.000, F1:1.000,[TP:54, FP:0, TN:10, FN:0]
file index:89, before 2048:1.000, after 2048:1.000, before 256:0.983, after 256:0.999, cost:0.4000 min, ETA:8.0000 min,         Acc:1.000, Precision:1.000, Recall:1.000, F1:1.000,[TP:55, FP:0, TN:9, FN:0]
file index:90, before 2048:1.000, after 2048:1.000, before 256:0.982, after 256:0.998, cost:0.4000 min, ETA:7.6000 min,         Acc:1.000, Precision:1.000, Recall:1.000, F1:1.000,[TP:50, FP:0, TN:14, FN:0]
file index:91, before 2048:1.000, after 2048:1.000, before 256:0.983, after 256:0.998, cost:0.4000 min, ETA:7.2000 min,         Acc:1.000, Precision:1.000, Recall:1.000, F1:1.000,[TP:50, FP:0, TN:14, FN:0]
file index:92, before 2048:1.000, after 2048:1.000, before 256:0.982, after 256:0.998, cost:0.4000 min, ETA:6.8000 min,         Acc:1.000, Precision:1.000, Recall:1.000, F1:1.000,[TP:50, FP:0, TN:14, FN:0]
file index:93, before 2048:1.000, after 2048:1.000, before 256:0.982, after 256:0.997, cost:0.4000 min, ETA:6.4000 min,         Acc:1.000, Precision:1.000, Recall:1.000, F1:1.000,[TP:50, FP:0, TN:14, FN:0]
file index:94, before 2048:1.000, after 2048:1.000, before 256:0.983, after 256:0.999, cost:0.3833 min, ETA:5.7500 min,         Acc:1.000, Precision:1.000, Recall:1.000, F1:1.000,[TP:50, FP:0, TN:14, FN:0]
file index:95, before 2048:1.000, after 2048:1.000, before 256:0.982, after 256:0.998, cost:0.4000 min, ETA:5.6000 min,         Acc:1.000, Precision:1.000, Recall:1.000, F1:1.000,[TP:50, FP:0, TN:14, FN:0]
file index:96, before 2048:1.000, after 2048:1.000, before 256:0.982, after 256:0.998, cost:0.4000 min, ETA:5.2000 min,         Acc:1.000, Precision:1.000, Recall:1.000, F1:1.000,[TP:50, FP:0, TN:14, FN:0]
file index:97, before 2048:1.000, after 2048:1.000, before 256:0.981, after 256:0.996, cost:0.4000 min, ETA:4.8000 min,         Acc:1.000, Precision:1.000, Recall:1.000, F1:1.000,[TP:50, FP:0, TN:14, FN:0]
file index:98, before 2048:1.000, after 2048:1.000, before 256:0.981, after 256:0.997, cost:0.4000 min, ETA:4.4000 min,         Acc:1.000, Precision:1.000, Recall:1.000, F1:1.000,[TP:50, FP:0, TN:14, FN:0]
file index:99, before 2048:0.781, after 2048:0.781, before 256:0.942, after 256:0.957, cost:0.3833 min, ETA:3.8333 min,         Acc:0.781, Precision:0.767, Recall:1.000, F1:0.868,[TP:46, FP:14, TN:4, FN:0]
